"equipment_machine_id","equipment_machine_unit","obj_types_id","em_name_th","em_name_en","em_detail","users_id","record_status","created_at","updated_at"
"EM001","","1","ถังแบ่ง","","","","1","",""
"LT001","","3","ห้องชั่งวัตถุดิบ","","","","1","",""
"LT002","","3","ห้องผสม","","","","1","",""
"MC001","","2","เครื่องชั่งดิจิตอล","","2ตำแหน่ง","","1","",""
"MC002","","2","เครื่องชั่งดิจิตอล","","ใหญ่","","1","",""
"MC003","","1","หม้อผสม","","","","1","",""
"MC004","","4","เครื่องผสม","","","","1","",""
"MC005","","2","เครื่องบรรจุ","","ระบบไฟฟ้า","","1","",""
"MC006","","2","สายพานลำเลียง","","5 m","","1","",""
"MC007","","2","เครื่องยิงวันที่","","","","1","",""
"MC008","","2","อุโมงค์ชริ้ง","","","","1","",""
"MC009","","2","เครื่องชริ้งฟิล์ม","","","","1","",""
