"id","migration","batch"
"2822","2014_10_12_000000_create_users_table","1"
"2823","2014_10_12_100000_create_password_resets_table","1"
"2824","2019_08_19_000000_create_failed_jobs_table","1"
"2825","2019_12_14_000001_create_personal_access_tokens_table","1"
"2826","2022_08_15_061155_create_roles_table","1"
"2827","2022_08_16_080630_create_rd_formulas_table","1"
"2828","2022_08_16_092637_create_formula_master_pms_line_table","1"
"2829","2022_08_16_092654_create_formula_master_process_table","1"
"2830","2022_08_16_092706_create_formula_master_em_table","1"
"2831","2022_08_16_092717_create_formula_master_sob_table","1"
"2832","2022_08_16_092740_create_bmr_master_table","1"
"2833","2022_08_17_084533_create_equipment_machine_table","1"
"2834","2022_08_18_030859_create_registration_document_table","1"
"2835","2022_08_18_033226_create_pms_master_table","1"
"2836","2022_08_18_040354_create_sob_master_table","1"
"2837","2022_08_18_041809_create_topic_master_table","1"
"2838","2022_08_18_041833_create_topic_master_line_table","1"
"2839","2022_08_18_045233_create_sob_line_table","1"
"2840","2022_08_19_035615_create_pms_master_line_table","1"
"2841","2022_08_20_034054_create_formula_master_topic_txts_table","1"
"2842","2022_08_22_105223_create_rd_formula_lines_table","1"
"2843","2022_08_26_072821_create_rm_lines_table","1"
"2844","2022_08_27_092959_create_sob_line_details_table","1"
"2845","2022_08_30_034942_create_document_statuses_table","1"
"2846","2022_08_31_162646_create_formula_masters_table","1"
"2847","2022_09_07_040237_create_product_details_table","1"
"2848","2022_09_09_022352_create_activity_log_table","1"
"2849","2022_09_14_035104_create_file_path_uploads_table","1"
"2850","2022_09_14_042648_create_formula_version_lists_table","1"
"2851","2022_09_26_043748_create_formula_master_file_paths_table","1"
"2852","2022_09_29_061716_create_obj_types_table","1"
