"id","topic_master_id","line_number","topic_number","topic_label","topic_detail","component_name","users_id","created_at","updated_at"
"1","1","1","1","สูตรการผลิต (Formulation)","","formulation-compo","","",""
"2","1","2","2","อุปกรณ์/เครื่องจักรที่ใช้ในการผลิต","","em-compo","","",""
"3","1","3","3","ขั้นตอนการผลิต","","process-compo","","",""
"4","1","4","4","ข้อกำหนดผลิตภัณฑ์รอการบรรจุ (Specification of Bulk)","","specification-compo","","",""
"5","1","5","5","การจัดเก็บ Bulk","","","","",""
"6","1","6","6","วัสดุบรรจุที่ใช้","","","","",""
"7","1","7","7","ข้อกำหนดวัสดุบรรจุ","","pms-compo","","",""
"8","1","8","8","อุปกรณ์ที่ใช้ในการบรรจุ","","em-compo","","",""
"9","1","9","9","ขั้นตอนการบรรจุ","","","","",""
"10","1","10","10","ข้อกำหนดผลิตภัณฑ์สำเร็จรูป","","pms-compo","","",""
"11","1","11","11","การจัดเก็บสินค้าสำเร็จรูป","","","","",""
"12","1","12","12","ข้อควรระวัง","","","","",""
"13","2","1","1","Working Formula","","wf-compo","","",""
"14","2","2","2","บันทึกการตรวจสอบก่อนการผลิต (line Clearance)","","line-clearance-compo","","",""
"15","2","3","3","บันทึกการชั่งวัตถุดิบ","","rmwr-compo","","",""
"16","2","4","4","บันทึกการทวนชั่งวัตถุดิบ","","rmvr-compo","","",""
"17","2","5","5","บันทึกการผสม (Mixing)","","mixr-compo","","",""
"18","2","6","6","การควบคุมคุณภาพระหว่างการผลิต","","qc-during-compo","","",""
"19","2","7","7","การตรวจสอบผลิตภัณฑ์ก่อนย้ายไปห้องเก็บเครื่องสำอางรอบรรจุ","","inspec-compo","","",""
"20","2","8","8","การสุ่มตรวจเครื่องสำอางรอบรรจุ","","random-checking-compo","","",""
"21","3","1","1","สูตรการผลิต","","formulation-compo-inno","8","2025-01-28 01:20:10","2025-01-28 01:20:10"
"22","3","2","2","อุปกรณ์/เครื่องจักรที่ใช้ในการผลิต","","em-compo","8","2025-01-28 01:20:32","2025-01-28 01:20:32"
"23","3","3","3","การร่อน","","formulation-mix-compo-inno","8","2025-01-28 01:20:49","2025-01-28 01:20:49"
"24","3","4","4","การผสม","","process-compo-inno","8","2025-01-28 01:21:12","2025-01-28 01:21:12"
"25","3","5","5","ข้อกำหนดผลิตภัณฑ์รอการบรรจุ","","specification-compo-inno","8","2025-01-28 01:21:44","2025-01-28 01:21:44"
"26","3","6","6","การจัดเก็บ Bulk","","","8","2025-01-28 01:21:57","2025-01-28 01:21:57"
"27","3","7","7","การจัดเก็บสินค้าสำเร็จรูป","","","8","2025-01-28 01:22:14","2025-01-28 01:22:14"
